,year,GS_mean,moving_avg,team
357,1992,13.409090909090908,13.568181818181818,cle
358,1993,13.454545454545457,13.21590909090909,cle
359,1994,13.318181818181818,13.238636363636363,cle
360,1995,14.045454545454543,13.556818181818182,cle
361,1996,,13.606060606060607,cle
362,1997,,13.681818181818183,cle
363,1998,,14.045454545454543,cle
364,1999,13.318181818181818,13.318181818181818,cle
365,2000,13.636363636363637,13.477272727272728,cle
366,2001,12.818181818181818,13.257575757575758,cle
367,2002,13.5,13.318181818181818,cle
368,2003,12.590909090909092,13.136363636363637,cle
369,2004,12.0,12.727272727272728,cle
370,2005,14.272727272727272,13.090909090909092,cle
371,2006,12.954545454545457,12.954545454545457,cle
372,2007,13.727272727272728,13.238636363636363,cle
373,2008,13.818181818181818,13.693181818181818,cle
374,2009,12.090909090909092,13.147727272727272,cle
375,2010,13.181818181818182,13.204545454545457,cle
376,2011,13.454545454545457,13.136363636363637,cle
377,2012,13.409090909090908,13.034090909090908,cle
378,2013,13.727272727272728,13.443181818181818,cle
379,2014,12.363636363636363,13.238636363636363,cle
380,2015,12.636363636363637,13.034090909090908,cle
381,2016,12.409090909090908,12.78409090909091,cle
382,2017,12.863636363636363,12.568181818181818,cle
383,2018,13.136363636363637,12.761363636363637,cle
384,2019,12.5,12.727272727272728,cle
385,2020,13.0,12.875,cle
386,2021,12.826086956521738,12.865612648221344,cle
387,2022,13.590909090909092,12.979249011857709,cle
388,2023,12.545454545454543,12.990612648221344,cle
389,2024,12.181818181818182,12.786067193675889,cle
390,1960,11.363636363636363,11.363636363636363,clt
391,1961,12.5,11.931818181818182,clt
392,1962,12.545454545454543,12.136363636363637,clt
393,1963,12.954545454545457,12.34090909090909,clt
394,1964,12.454545454545457,12.613636363636363,clt
395,1965,12.909090909090908,12.71590909090909,clt
396,1966,12.909090909090908,12.806818181818182,clt
397,1967,12.318181818181818,12.647727272727272,clt
398,1968,13.272727272727272,12.852272727272728,clt
399,1969,11.681818181818182,12.545454545454543,clt
400,1970,11.954545454545457,12.306818181818183,clt
401,1971,12.909090909090908,12.454545454545457,clt
402,1972,12.363636363636363,12.227272727272728,clt
403,1973,11.818181818181818,12.261363636363637,clt
404,1974,12.681818181818182,12.443181818181818,clt
405,1975,13.045454545454543,12.477272727272728,clt
406,1976,13.636363636363637,12.795454545454549,clt
407,1977,13.090909090909092,13.113636363636363,clt
408,1978,13.363636363636363,13.28409090909091,clt
409,1979,13.181818181818182,13.318181818181818,clt
410,1980,14.5,13.53409090909091,clt
411,1981,14.0,13.761363636363637,clt
412,1982,7.772727272727272,12.363636363636363,clt
413,1983,13.0,12.318181818181818,clt
414,1984,13.136363636363637,11.977272727272728,clt
415,1985,14.318181818181818,12.056818181818182,clt
416,1986,13.454545454545457,13.477272727272728,clt
417,1987,10.818181818181818,12.931818181818182,clt
418,1988,14.0,13.147727272727272,clt
419,1989,14.045454545454543,13.079545454545457,clt
420,1990,13.363636363636363,13.05681818181818,clt
421,1991,12.26086956521739,13.417490118577074,clt
422,1992,13.363636363636363,13.258399209486166,clt
423,1993,13.681818181818182,13.167490118577074,clt
424,1994,14.045454545454543,13.33794466403162,clt
425,1995,14.727272727272728,13.954545454545457,clt
426,1996,12.5,13.738636363636363,clt
427,1997,13.363636363636363,13.65909090909091,clt
428,1998,13.181818181818182,13.443181818181818,clt
429,1999,14.772727272727272,13.454545454545457,clt
430,2000,14.909090909090908,14.056818181818182,clt
431,2001,14.318181818181818,14.295454545454543,clt
432,2002,13.863636363636363,14.46590909090909,clt
433,2003,14.0,14.272727272727272,clt
434,2004,14.136363636363637,14.079545454545457,clt
435,2005,14.727272727272728,14.181818181818182,clt
436,2006,14.5,14.340909090909092,clt
437,2007,13.409090909090908,14.193181818181818,clt
438,2008,13.590909090909092,14.056818181818182,clt
439,2009,12.727272727272728,13.556818181818182,clt
440,2010,12.954545454545457,13.170454545454543,clt
441,2011,12.818181818181818,13.022727272727272,clt
442,2012,12.818181818181818,12.829545454545451,clt
443,2013,12.863636363636363,12.863636363636363,clt
444,2014,13.590909090909092,13.022727272727272,clt
445,2015,13.181818181818182,13.113636363636363,clt
446,2016,12.454545454545457,13.022727272727272,clt
447,2017,12.181818181818182,12.852272727272728,clt
448,2018,12.090909090909092,12.477272727272728,clt
449,2019,13.136363636363637,12.465909090909092,clt
450,2020,13.909090909090908,12.829545454545457,clt
451,2021,14.142857142857142,13.319805194805197,clt
452,2022,13.818181818181818,13.751623376623376,clt
453,2023,13.428571428571429,13.824675324675324,clt
454,2024,13.318181818181818,13.676948051948052,clt
455,1960,10.136363636363637,10.136363636363637,crd
456,1961,11.409090909090908,10.772727272727272,crd
457,1962,11.954545454545457,11.166666666666666,crd
458,1963,12.863636363636363,11.59090909090909,crd
459,1964,11.590909090909092,11.954545454545451,crd
460,1965,12.318181818181818,12.181818181818182,crd
461,1966,11.782608695652174,12.13883399209486,crd
462,1967,12.863636363636363,12.13883399209486,crd
463,1968,12.636363636363637,12.400197628458498,crd
464,1969,12.181818181818182,12.36610671936759,crd
465,1970,13.181818181818182,12.715909090909092,crd
466,1971,10.772727272727272,12.193181818181818,crd
467,1972,11.227272727272728,11.840909090909092,crd
468,1973,11.478260869565217,11.665019762845851,crd
469,1974,12.818181818181818,11.574110671936758,crd
470,1975,12.772727272727272,12.074110671936758,crd
471,1976,12.727272727272728,12.449110671936758,crd
472,1977,12.090909090909092,12.602272727272728,crd
473,1978,13.227272727272728,12.704545454545457,crd
474,1979,13.545454545454543,12.897727272727272,crd
475,1980,13.409090909090908,13.068181818181818,crd
476,1981,13.136363636363637,13.329545454545451,crd
477,1982,8.590909090909092,12.170454545454543,crd
478,1983,13.772727272727272,12.227272727272728,crd
479,1984,14.227272727272728,12.431818181818182,crd
480,1985,14.318181818181818,12.727272727272728,crd
